<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20120711,000000,96.7551020,98.1938800,96.6020410,97.8214300,4
20120712,000000,97.3112240,97.3112240,96.2398000,96.4387800,4
20120713,000000,96.5102040,100.2449000,96.5102040,100.0867400,5
20120716,000000,99.8520410,100.4438800,99.1938800,99.6326500,4
20120717,000000,99.8724490,100.4540800,98.6734700,100.4540800,6
20120718,000000,100.2397960,100.5102040,99.2295900,99.5816300,62
20120719,000000,99.6530610,100.2244900,98.4591800,98.7500000,83
20120720,000000,98.3979600,98.3979600,97.0000000,97.0663300,7
20120723,000000,96.9030600,96.9030600,95.2449000,96.4438800,9
20120724,000000,96.6581600,96.9642900,95.4642900,96.3979600,4
20120725,000000,96.5918400,97.3775500,96.4030600,96.8928600,3
20120726,000000,97.7704100,98.5510200,97.7295900,98.3775500,5
20120727,000000,98.4591800,100.9030600,98.3010200,100.2500000,4
20120730,000000,100.1734700,100.1989800,99.1581600,99.3724500,7
20120731,000000,99.3061200,99.5459200,98.8316300,99.0561200,4
20120801,000000,99.1275500,99.9183700,98.5102000,98.6071400,3
20120802,000000,98.5408200,98.5408200,96.1632700,97.1173500,6
20120803,000000,97.1581600,100.4234700,97.1581600,100.0408200,3
20120806,000000,100.5918400,101.3571400,100.4540800,100.4642900,0
20120807,000000,101.6122500,102.4489800,101.2193900,101.2346900,0
20120808,000000,100.6632700,101.7857100,100.6632700,101.2449000,0
20120809,000000,100.6122500,101.5612200,100.6122500,101.1887800,0
20120810,000000,100.2500000,101.3571400,100.2500000,101.2653100,0
20120813,000000,100.7806100,101.4591800,100.5408200,101.2653100,0
20120814,000000,102.0357100,102.3112200,101.0867400,101.3622500,0
20120815,000000,101.1071400,101.9846900,101.1071400,101.7040800,0
20120816,000000,101.9081600,102.2908200,101.1479600,102.0867400,0
20120817,000000,102.1938800,102.4438800,101.9693900,102.3265300,0
20120820,000000,102.2602000,103.1632700,102.1785700,103.1275500,0
20120821,000000,104.1785700,105.3265300,103.5714300,103.9387800,0
20120822,000000,103.4693900,104.4949000,103.1071400,103.5714300,0
20120823,000000,103.2193900,103.3673500,102.1632700,102.2653100,0
20120824,000000,101.8622500,103.0765300,101.7346900,102.6530600,0
20120827,000000,103.1020400,103.1989800,102.3367400,102.6683700,0
20120828,000000,102.3469400,103.3061200,102.2602000,102.4693900,0
20120829,000000,102.9489800,103.3112200,102.5306100,103.0918400,0
20120830,000000,102.5051000,102.5510200,101.7704100,102.2704100,0
20120831,000000,103.1530600,103.3214300,102.2142900,102.6836700,0
20120904,000000,102.8010200,103.0969400,102.1122500,102.6173500,0
20120905,000000,102.8928600,102.8928600,102.2806100,102.4795900,0
20120906,000000,104.0255100,106.0612200,104.0204100,105.9846900,0
20120907,000000,107.1989800,108.0561200,107.1632700,107.7806100,0
20120910,000000,108.0153100,108.3112200,106.6071400,106.6581600,0
20120911,000000,106.2398000,107.9489800,106.2398000,107.8979600,0
20120912,000000,108.8775500,109.0969400,107.9898000,108.4183700,0
20120913,000000,107.8316300,112.2449000,107.7755100,111.9591800,0
20120914,000000,113.3214300,114.5153100,112.8571400,113.3316300,0
20120917,000000,112.2500000,112.6530600,111.0561200,111.2398000,0
20120918,000000,110.9336700,111.4489800,110.3979600,111.0918400,0
20120919,000000,111.2193900,112.3265300,111.0510200,111.4081600,0
20120920,000000,109.7398000,110.9030600,109.6020400,110.7346900,0
20120921,000000,111.6530600,111.6530600,110.0000000,110.1071400,0
20120924,000000,109.4285700,110.9846900,109.4285700,110.4949000,0
20120925,000000,111.0408200,111.3775500,108.9285700,108.9285700,0
20120926,000000,108.4285700,108.5357100,107.6071400,107.9795900,0
20120927,000000,108.8775500,109.6734700,108.3520400,109.1275500,0
20120928,000000,108.2346900,109.1377600,108.1428600,108.4949000,0
20121001,000000,109.9949000,110.4387800,108.8826500,108.9336700,0
20121002,000000,109.4540800,109.4540800,108.6989800,109.2908200,0
20121003,000000,109.3316300,110.8673500,109.0102000,110.5612200,0
20121004,000000,111.4234700,112.8673500,111.0051000,112.8265300,0
20121005,000000,113.9336700,114.1989800,112.0102000,112.5000000,0
20121008,000000,112.0255100,112.5255100,111.7959200,112.1836700,0
20121009,000000,112.5765300,112.6428600,110.7806100,111.1734700,0
20121010,000000,111.5816300,112.0357100,110.7398000,111.6785700,0
20121011,000000,112.8928600,113.2295900,112.0306100,112.2908200,0
20121012,000000,110.4183700,112.2142900,109.1683700,109.6938800,0
20121015,000000,110.1938800,111.1938800,109.7449000,111.1377600,0
20121016,000000,111.1173500,111.8979600,110.3163300,110.9183700,0
20121017,000000,111.6020400,112.8163300,111.6020400,112.6122500,0
20121018,000000,112.8112200,113.0561200,111.8367400,112.3877600,0
20121019,000000,111.6734700,111.8367400,110.5510200,111.1428600,0
20121022,000000,111.3928600,111.4387800,110.3265300,111.4387800,0
20121023,000000,109.5867400,109.8214300,108.9234700,109.4642900,0
20121024,000000,110.3826500,110.3826500,109.2346900,109.4898000,0
20121025,000000,110.7908200,110.7908200,109.0000000,109.9642900,0
20121026,000000,109.3673500,109.9540800,108.3316300,108.8571400,0
20121031,000000,109.6173500,109.8112200,108.7091800,109.6173500,0
20121101,000000,110.0714300,111.7806100,109.3826500,111.7806100,0
20121102,000000,112.0102000,112.4949000,110.8673500,111.0204100,0
20121105,000000,110.3316300,110.9183700,109.5255100,110.6785700,0
20121106,000000,111.4336700,112.6173500,111.4081600,112.4438800,0
20121107,000000,109.4795900,109.7040800,106.8061200,106.8214300,0
20121108,000000,108.0663300,108.7398000,106.2908200,106.3010200,0
20121109,000000,106.0867400,107.6989800,106.0867400,106.4693900,0
20121112,000000,107.0714300,107.1632700,106.3316300,106.6632700,0
